Glottocode	Gender
waur1244	1
acha1250	1
para1316	1
pich1237	1
inap1243	1
ashe1273	1
bani1255	1
enaw1238	1
igna1246	2
mach1267	1
mehi1240	1
paun1241	4
piap1246	1
ware1255	1
yawa1261	1
yucu1253	1
ashe1272	1
aari1239	1
abad1241	4
abar1238	4
abau1245	1
abaz1241	4
abee1242	4
aben1249	4
abkh1244	2
abro1238	4
abua1245	4
abui1241	4
abun1252	4
acat1239	4
ache1245	4
achi1257	4
achu1247	4
acol1236	4
adam1253	4
adan1247	4
adan1248	4
adan1251	4
adiv1239	4
adny1235	4
adon1237	4
adyg1241	4
adze1240	4
afar1241	1
agar1252	4
aghe1239	4
aghu1255	4
agua1252	4
agua1253	4
agus1235	4
agut1237	4
ahan1243	4
ahan1244	4
aheu1239	4
aime1238	4
ainu1240	4
ainu1251	4
ajab1235	4
ajie1238	4
ajyi1238	1
akan1250	4
akaw1239	4
akei1237	4
akha1245	4
akhv1239	4
akla1241	4
akoo1248	4
akoy1238	1
akun1241	4
alab1237	4
alab1254	1
alac1244	4
alag1248	2
alam1246	4
alaw1244	1
alba1269	4
alek1238	4
aleu1260	4
alge1239	1
algo1255	4
alor1247	4
alur1250	1
alut1245	4
alya1239	4
amah1246	4
amam1246	4
aman1265	4
amap1240	1
amar1271	4
amar1272	4
amas1236	4
amba1265	4
ambu1247	1
amdo1237	4
amel1241	4
amha1245	1
amii1238	4
amis1246	4
amoo1242	4
anam1248	4
anei1239	4
anfi1235	4
anga1288	4
anga1290	4
anga1292	4
anga1293	4
angi1238	4
ango1254	1
anii1245	4
anii1246	1
anin1240	2
anip1235	4
anua1242	4
anuf1239	4
anut1237	4
anuu1241	4
aona1235	4
aoua1234	4
apal1257	4
apat1240	4
apin1244	4
apma1240	4
apma1241	4
apur1254	1
arak1252	4
aram1253	4
arao1248	4
arap1274	4
araw1276	1
arbo1245	1
arch1244	4
area1240	4
aree1239	4
areq1237	4
argo1244	1
arhu1242	4
arif1239	4
arig1246	4
arik1262	4
arop1242	4
arop1243	4
aros1241	4
arta1239	4
ashk1246	1
asho1236	4
assa1263	4
assi1247	4
assy1241	1
asur1254	4
asut1235	4
atam1240	4
atay1247	4
atem1241	4
athp1241	4
atii1237	4
atik1240	4
aton1241	4
atzi1235	4
auuu1241	2
avat1244	4
avok1242	4
awac1239	4
awad1243	1
awad1244	4
awap1236	4
awar1248	4
awar1249	4
awet1244	4
awiy1238	4
awji1241	1
awng1244	1
awtu1239	4
awut1241	4
ayac1239	4
ayor1240	1
ayut1236	4
baat1238	4
baba1264	4
baba1266	4
baba1268	4
babi1235	4
bada1257	2
bade1248	1
bady1239	4
bafa1247	4
bafa1249	4
bafi1243	4
bafu1246	4
baga1272	4
baga1273	4
bagi1246	4
bagr1243	1
baha1256	4
baha1258	4
baha1259	1
bahi1252	4
bahn1262	4
baik1238	4
