Options:
Model:                           MultiState
Tree File Name:                  trees_ww.nex
Data File Name:                  ww_nom_sys.txt
Log File Name:                   world_nom-RJHPoutput.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1214870298
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   10000
Iterations:                      10000000
Burn in:                         1000000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   world_nom-RJHPoutput.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               1,2,3,4
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q14                          RJ MCMC
    q21                          RJ MCMC
    q23                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q32                          RJ MCMC
    q34                          RJ MCMC
    q41                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - gamma 1.00 1.00 
Tree Information
     Trees:                      902
     Taxa:                       2847
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q12	q13	q14	q21	q23	q24	q31	q32	q34	q41	q42	q43	Root P(1)	Root P(2)	Root P(3)	Root P(4)	
1010000	-1015.961669	412	3	1	'2 0 2 1 0 2 Z 1 1 0 0 0 	0.099830	0.007884	0.099830	0.440703	0.007884	0.099830	0.000000	0.440703	0.440703	0.007884	0.007884	0.007884	0.250002	0.250002	0.250000	0.249997	
1020000	-1012.316838	412	3	2	'1 Z 1 2 0 1 Z 2 2 0 0 0 	0.116620	0.000000	0.116620	0.347154	0.007912	0.116620	0.000000	0.347154	0.347154	0.007912	0.007912	0.007912	0.250001	0.250001	0.250000	0.249999	
1030000	-1012.278281	412	3	2	'1 Z 1 2 0 1 Z 2 2 0 0 0 	0.113649	0.000000	0.113649	0.380790	0.007506	0.113649	0.000000	0.380790	0.380790	0.007506	0.007506	0.007506	0.250001	0.250001	0.250000	0.249998	
1040000	-1014.023435	412	3	1	'1 Z 1 2 0 1 0 2 2 0 0 0 	0.096363	0.000000	0.096363	0.372246	0.007662	0.096363	0.007662	0.372246	0.372246	0.007662	0.007662	0.007662	0.250004	0.250004	0.249999	0.249993	
1050000	-1015.448448	412	3	2	'1 Z 1 2 0 1 Z 2 2 0 0 0 	0.097012	0.000000	0.097012	0.243929	0.006383	0.097012	0.000000	0.243929	0.243929	0.006383	0.006383	0.006383	0.250008	0.250008	0.249999	0.249985	
1060000	-1015.580509	412	3	1	'1 Z 1 2 0 1 0 2 2 0 0 0 	0.122190	0.000000	0.122190	0.281814	0.008810	0.122190	0.008810	0.281814	0.281814	0.008810	0.008810	0.008810	0.250000	0.250000	0.250000	0.250000	
1070000	-1012.877464	412	3	2	'1 Z 1 2 0 1 Z 2 2 0 0 0 	0.104656	0.000000	0.104656	0.312547	0.006343	0.104656	0.000000	0.312547	0.312547	0.006343	0.006343	0.006343	0.250004	0.250004	0.249999	0.249993	
1080000	-1012.391239	412	3	2	'1 Z 1 2 0 1 Z 2 2 0 0 0 	0.119119	0.000000	0.119119	0.336164	0.007475	0.119119	0.000000	0.336164	0.336164	0.007475	0.007475	0.007475	0.250001	0.250000	0.250000	0.249999	
1090000	-1014.631770	412	3	1	'1 Z 1 2 0 1 0 2 1 0 0 0 	0.127553	0.000000	0.127553	0.334962	0.006760	0.127553	0.006760	0.334962	0.127553	0.006760	0.006760	0.006760	0.250000	0.250000	0.250000	0.250000	
1100000	-1013.636523	412	3	1	'1 Z 1 2 0 1 0 2 1 0 0 0 	0.108253	0.000000	0.108253	0.438197	0.006975	0.108253	0.006975	0.438197	0.108253	0.006975	0.006975	0.006975	0.250001	0.250001	0.250001	0.249998	
1110000	-1007.332078	412	4	1	'2 Z 3 1 0 3 2 1 1 0 0 0 	0.051685	0.000000	0.128403	0.278219	0.007742	0.128403	0.051685	0.278219	0.278219	0.007742	0.007742	0.007742	0.250000	0.250000	0.250000	0.250000	
1120000	-1014.599029	412	3	2	'2 0 2 1 Z 2 Z 1 1 0 0 0 	0.113603	0.008343	0.113603	0.397680	0.000000	0.113603	0.000000	0.397680	0.397680	0.008343	0.008343	0.008343	0.250000	0.250000	0.250000	0.249999	
1130000	-1012.288243	412	3	1	'2 Z 2 1 0 2 0 1 1 0 0 0 	0.116873	0.000000	0.116873	0.346853	0.007416	0.116873	0.007416	0.346853	0.346853	0.007416	0.007416	0.007416	0.250001	0.250001	0.250000	0.249999	
1140000	-1016.273157	412	3	2	'2 Z 2 1 0 2 Z 1 1 0 0 0 	0.099316	0.000000	0.099316	0.462371	0.007547	0.099316	0.000000	0.462371	0.462371	0.007547	0.007547	0.007547	0.250003	0.250003	0.249999	0.249994	
1150000	-1012.823517	412	3	2	'2 Z 2 1 0 2 Z 1 1 0 0 0 	0.118856	0.000000	0.118856	0.353825	0.006470	0.118856	0.000000	0.353825	0.353825	0.006470	0.006470	0.006470	0.250001	0.250001	0.250000	0.249998	
1160000	-1013.077740	412	3	2	'2 Z 2 1 0 2 Z 1 1 0 0 0 	0.100613	0.000000	0.100613	0.341484	0.006546	0.100613	0.000000	0.341484	0.341484	0.006546	0.006546	0.006546	0.250005	0.250005	0.249999	0.249991	
1170000	-1014.315129	412	3	2	'2 Z 2 1 0 2 Z 1 1 0 0 0 	0.123582	0.000000	0.123582	0.287994	0.006550	0.123582	0.000000	0.287994	0.287994	0.006550	0.006550	0.006550	0.250001	0.250001	0.250000	0.249999	
1180000	-1013.059961	412	3	1	'2 Z 2 1 0 2 0 1 2 0 0 0 	0.119099	0.000000	0.119099	0.402757	0.007450	0.119099	0.007450	0.402757	0.119099	0.007450	0.007450	0.007450	0.250000	0.250000	0.250000	0.249999	
1190000	-1014.088629	412	3	1	'2 Z 2 1 0 1 0 1 1 0 0 0 	0.103827	0.000000	0.103827	0.254772	0.006433	0.254772	0.006433	0.254772	0.254772	0.006433	0.006433	0.006433	0.250000	0.250000	0.250000	0.250000	
1200000	-1019.516554	407	3	1	'2 Z 2 1 0 1 0 1 1 0 0 0 	0.107473	0.000000	0.107473	0.215856	0.008788	0.215856	0.008788	0.215856	0.215856	0.008788	0.008788	0.008788	0.250000	0.250000	0.250000	0.250000	
1210000	-1020.111076	483	3	1	'1 Z 1 2 0 2 0 2 2 0 0 0 	0.093981	0.000000	0.093981	0.269762	0.007838	0.269762	0.007838	0.269762	0.269762	0.007838	0.007838	0.007838	0.250101	0.250026	0.249978	0.249895	
1220000	-1017.331967	412	3	1	'1 Z 1 2 0 1 0 1 2 0 0 0 	0.124744	0.000000	0.124744	0.455491	0.006729	0.124744	0.006729	0.124744	0.455491	0.006729	0.006729	0.006729	0.250001	0.250001	0.249999	0.249999	
1230000	-1018.580774	412	3	2	'2 Z 2 1 0 2 Z 2 1 0 0 0 	0.098070	0.000000	0.098070	0.317842	0.008636	0.098070	0.000000	0.098070	0.317842	0.008636	0.008636	0.008636	0.250004	0.250004	0.249997	0.249995	
1240000	-1019.152780	412	3	0	'2 0 2 1 0 2 0 2 1 0 0 0 	0.126523	0.006085	0.126523	0.339310	0.006085	0.126523	0.006085	0.126523	0.339310	0.006085	0.006085	0.006085	0.250001	0.250001	0.250000	0.249999	
1250000	-1017.135082	412	3	1	'2 Z 2 1 0 2 0 1 0 0 0 0 	0.110727	0.000000	0.110727	0.501385	0.007960	0.110727	0.007960	0.501385	0.007960	0.007960	0.007960	0.007960	0.250000	0.250000	0.250000	0.249999	
1260000	-1014.146594	412	3	2	'2 Z 2 1 0 2 Z 1 2 0 0 0 	0.101310	0.000000	0.101310	0.353809	0.007123	0.101310	0.000000	0.353809	0.101310	0.007123	0.007123	0.007123	0.250001	0.250001	0.250001	0.249996	
1270000	-1015.324487	412	3	1	'2 Z 2 1 0 2 0 1 2 0 0 0 	0.112487	0.000000	0.112487	0.375781	0.005268	0.112487	0.005268	0.375781	0.112487	0.005268	0.005268	0.005268	0.250002	0.250002	0.250002	0.249995	
1280000	-1014.759529	412	3	2	'2 Z 2 1 0 2 Z 1 2 0 0 0 	0.098656	0.000000	0.098656	0.378612	0.006421	0.098656	0.000000	0.378612	0.098656	0.006421	0.006421	0.006421	0.250003	0.250003	0.250003	0.249992	
1290000	-1013.673645	412	3	1	'2 0 2 1 Z 2 0 1 1 0 0 0 	0.114524	0.007190	0.114524	0.354252	0.000000	0.114524	0.007190	0.354252	0.354252	0.007190	0.007190	0.007190	0.250001	0.250001	0.250000	0.249999	
1300000	-1014.079502	412	3	2	'2 Z 2 1 0 2 Z 1 1 0 0 0 	0.118768	0.000000	0.118768	0.451744	0.007601	0.118768	0.000000	0.451744	0.451744	0.007601	0.007601	0.007601	0.250000	0.250000	0.250000	0.249999	
1310000	-1014.101234	412	3	2	'2 0 2 1 Z 2 Z 1 1 0 0 0 	0.106620	0.007937	0.106620	0.374093	0.000000	0.106620	0.000000	0.374093	0.374093	0.007937	0.007937	0.007937	0.250001	0.250001	0.250000	0.249998	
1320000	-1020.332315	407	3	2	'2 0 2 1 Z 2 0 1 1 0 Z 0 	0.107034	0.008014	0.107034	0.331017	0.000000	0.107034	0.008014	0.331017	0.331017	0.008014	0.000000	0.008014	0.250016	0.250017	0.249998	0.249969	
1330000	-1017.300017	407	3	2	'2 Z 2 1 0 2 0 1 1 0 Z 0 	0.112063	0.000000	0.112063	0.352385	0.011502	0.112063	0.011502	0.352385	0.352385	0.011502	0.000000	0.011502	0.250004	0.250004	0.249999	0.249993	
1340000	-1018.269644	407	3	0	'2 0 2 1 0 2 2 1 1 0 0 0 	0.113743	0.006764	0.113743	0.384163	0.006764	0.113743	0.113743	0.384163	0.384163	0.006764	0.006764	0.006764	0.250003	0.250003	0.250000	0.249995	
1350000	-1018.714918	407	3	0	'2 0 2 1 0 2 0 1 1 0 0 0 	0.104331	0.008146	0.104331	0.308232	0.008146	0.104331	0.008146	0.308232	0.308232	0.008146	0.008146	0.008146	0.250003	0.250003	0.249999	0.249994	
1360000	-1017.226133	407	3	0	'2 0 2 1 0 2 0 1 1 0 0 0 	0.110024	0.007416	0.110024	0.304610	0.007416	0.110024	0.007416	0.304610	0.304610	0.007416	0.007416	0.007416	0.250003	0.250003	0.250000	0.249994	
1370000	-1017.212627	407	3	2	'2 Z 2 1 0 2 Z 1 1 0 0 0 	0.131301	0.000000	0.131301	0.366336	0.008095	0.131301	0.000000	0.366336	0.366336	0.008095	0.008095	0.008095	0.250000	0.250000	0.250000	0.249999	
1380000	-1016.718756	407	3	1	'2 Z 2 1 0 2 0 1 1 0 0 0 	0.120799	0.000000	0.120799	0.292944	0.007467	0.120799	0.007467	0.292944	0.292944	0.007467	0.007467	0.007467	0.250001	0.250001	0.250000	0.249998	
1390000	-1020.505357	407	3	2	'2 Z 2 1 0 2 0 1 1 0 Z 0 	0.117603	0.000000	0.117603	0.279516	0.013144	0.117603	0.013144	0.279516	0.279516	0.013144	0.000000	0.013144	0.250001	0.250001	0.250000	0.249998	
1400000	-1012.915172	412	3	1	'2 Z 2 1 0 2 0 1 1 0 0 0 	0.102231	0.000000	0.102231	0.297488	0.007418	0.102231	0.007418	0.297488	0.297488	0.007418	0.007418	0.007418	0.250003	0.250003	0.250000	0.249995	
1410000	-1007.084654	412	4	2	'3 Z 2 1 0 2 Z 1 1 0 0 0 	0.070132	0.000000	0.132292	0.267553	0.007762	0.132292	0.000000	0.267553	0.267553	0.007762	0.007762	0.007762	0.250000	0.250000	0.250000	0.250000	
1420000	-1012.433155	412	3	1	'2 Z 2 1 0 2 0 1 1 0 0 0 	0.117400	0.000000	0.117400	0.357046	0.006963	0.117400	0.006963	0.357046	0.357046	0.006963	0.006963	0.006963	0.250001	0.250001	0.250000	0.249999	
1430000	-1015.197826	412	3	0	'2 0 2 1 0 2 0 1 1 0 0 0 	0.110844	0.005545	0.110844	0.375498	0.005545	0.110844	0.005545	0.375498	0.375498	0.005545	0.005545	0.005545	0.250003	0.250003	0.249999	0.249995	
1440000	-1013.838862	412	3	2	'2 Z 2 1 0 2 Z 1 1 0 0 0 	0.111144	0.000000	0.111144	0.346851	0.005700	0.111144	0.000000	0.346851	0.346851	0.005700	0.005700	0.005700	0.250003	0.250003	0.249999	0.249994	
1450000	-1012.071220	412	3	2	'2 Z 2 1 0 2 Z 1 1 0 0 0 	0.114128	0.000000	0.114128	0.345140	0.007592	0.114128	0.000000	0.345140	0.345140	0.007592	0.007592	0.007592	0.250001	0.250001	0.250000	0.249999	
1460000	-1012.722973	412	3	1	'2 Z 2 1 0 2 0 1 1 0 0 0 	0.120857	0.000000	0.120857	0.373893	0.007161	0.120857	0.007161	0.373893	0.373893	0.007161	0.007161	0.007161	0.250001	0.250000	0.250000	0.249999	
1470000	-1013.520699	412	3	2	'2 Z 2 1 0 2 Z 1 1 0 0 0 	0.119833	0.000000	0.119833	0.303998	0.006329	0.119833	0.000000	0.303998	0.303998	0.006329	0.006329	0.006329	0.250001	0.250001	0.250000	0.249998	
1480000	-1014.390872	412	3	2	'2 Z 2 1 0 2 Z 1 1 0 0 0 	0.101116	0.000000	0.101116	0.301333	0.008866	0.101116	0.000000	0.301333	0.301333	0.008866	0.008866	0.008866	0.250001	0.250001	0.250000	0.249998	
1490000	-1012.766062	412	3	1	'2 Z 2 1 0 2 0 1 1 0 0 0 	0.122415	0.000000	0.122415	0.358077	0.007483	0.122415	0.007483	0.358077	0.358077	0.007483	0.007483	0.007483	0.250000	0.250000	0.250000	0.249999	
1500000	-1012.368258	412	3	1	'2 Z 2 1 0 2 0 1 1 0 0 0 	0.115411	0.000000	0.115411	0.321234	0.007285	0.115411	0.007285	0.321234	0.321234	0.007285	0.007285	0.007285	0.250001	0.250001	0.250000	0.249999	
1510000	-1013.364604	412	3	1	'2 0 2 1 0 2 Z 1 1 0 0 0 	0.112420	0.007373	0.112420	0.366131	0.007373	0.112420	0.000000	0.366131	0.366131	0.007373	0.007373	0.007373	0.250001	0.250001	0.250000	0.249999	
1520000	-1015.637227	412	3	2	'2 Z 2 1 0 2 Z 1 1 0 0 0 	0.092436	0.000000	0.092436	0.278321	0.008416	0.092436	0.000000	0.278321	0.278321	0.008416	0.008416	0.008416	0.250004	0.250004	0.249999	0.249993	
1530000	-1013.017599	412	3	1	'1 Z 1 2 0 1 0 2 2 0 0 0 	0.124253	0.000000	0.124253	0.349457	0.007525	0.124253	0.007525	0.349457	0.349457	0.007525	0.007525	0.007525	0.250000	0.250000	0.250000	0.249999	
1540000	-1018.421089	407	3	0	'1 0 1 2 0 1 0 2 2 0 0 0 	0.107213	0.007120	0.107213	0.450230	0.007120	0.107213	0.007120	0.450230	0.450230	0.007120	0.007120	0.007120	0.250004	0.250004	0.249999	0.249992	
1550000	-1021.107999	170	3	1	'2 Z 2 1 0 2 0 1 1 0 0 0 	0.119732	0.000000	0.119732	0.399721	0.008402	0.119732	0.008402	0.399721	0.399721	0.008402	0.008402	0.008402	0.250007	0.250007	0.249999	0.249987	
1560000	-1016.355986	412	3	1	'2 Z 2 1 0 2 0 1 1 0 0 0 	0.108476	0.000000	0.108476	0.309821	0.010013	0.108476	0.010013	0.309821	0.309821	0.010013	0.010013	0.010013	0.250000	0.250000	0.250000	0.249999	
1570000	-1015.002383	412	3	1	'2 Z 2 1 0 2 2 1 2 0 0 0 	0.112135	0.000000	0.112135	0.303516	0.006990	0.112135	0.112135	0.303516	0.112135	0.006990	0.006990	0.006990	0.250001	0.250001	0.250001	0.249998	
1580000	-1016.019692	412	3	0	'2 0 2 1 0 2 0 1 1 0 0 0 	0.101162	0.008822	0.101162	0.398056	0.008822	0.101162	0.008822	0.398056	0.398056	0.008822	0.008822	0.008822	0.250001	0.250001	0.250000	0.249998	
1590000	-1012.319366	412	3	2	'2 Z 2 1 0 2 Z 1 1 0 0 0 	0.112823	0.000000	0.112823	0.325054	0.007898	0.112823	0.000000	0.325054	0.325054	0.007898	0.007898	0.007898	0.250001	0.250001	0.250000	0.249999	
1600000	-1014.578830	412	3	1	'2 0 2 1 Z 2 0 1 1 0 0 0 	0.103645	0.008096	0.103645	0.328063	0.000000	0.103645	0.008096	0.328063	0.328063	0.008096	0.008096	0.008096	0.250001	0.250001	0.250000	0.249998	
1610000	-1013.902017	412	3	0	'2 0 2 1 0 2 0 1 1 0 0 0 	0.102014	0.006537	0.102014	0.352071	0.006537	0.102014	0.006537	0.352071	0.352071	0.006537	0.006537	0.006537	0.250004	0.250004	0.249999	0.249993	
1620000	-1012.798950	412	3	2	'2 Z 2 1 0 2 Z 1 1 0 0 0 	0.116957	0.000000	0.116957	0.299710	0.007315	0.116957	0.000000	0.299710	0.299710	0.007315	0.007315	0.007315	0.250001	0.250001	0.250000	0.249999	
1630000	-1022.409271	412	3	3	'2 Z 2 1 0 2 Z 1 Z 0 0 0 	0.156827	0.000000	0.156827	0.451593	0.006417	0.156827	0.000000	0.451593	0.000000	0.006417	0.006417	0.006417	0.250000	0.250000	0.250000	0.250000	
1640000	-1015.243708	412	3	1	'2 0 2 1 0 2 Z 1 2 0 0 0 	0.122286	0.007804	0.122286	0.429720	0.007804	0.122286	0.000000	0.429720	0.122286	0.007804	0.007804	0.007804	0.250000	0.250000	0.250000	0.250000	
1650000	-1017.514915	407	3	1	'2 Z 2 1 0 2 0 1 1 0 0 0 	0.109148	0.000000	0.109148	0.254716	0.006653	0.109148	0.006653	0.254716	0.254716	0.006653	0.006653	0.006653	0.250006	0.250006	0.249999	0.249989	
1660000	-1012.973124	412	3	1	'2 Z 2 1 0 2 0 1 1 0 0 0 	0.107595	0.000000	0.107595	0.394615	0.007842	0.107595	0.007842	0.394615	0.394615	0.007842	0.007842	0.007842	0.250001	0.250001	0.250000	0.249998	
1670000	-1015.412105	412	3	1	'2 Z 2 1 0 2 2 1 2 0 0 0 	0.101852	0.000000	0.101852	0.337671	0.007660	0.101852	0.101852	0.337671	0.101852	0.007660	0.007660	0.007660	0.250001	0.250001	0.250001	0.249997	
1680000	-1018.092269	412	3	1	'2 Z 2 1 0 2 0 1 2 0 0 0 	0.122835	0.000000	0.122835	0.338653	0.009778	0.122835	0.009778	0.338653	0.122835	0.009778	0.009778	0.009778	0.250000	0.250000	0.250000	0.250000	
1690000	-1016.188521	412	3	0	'2 0 2 1 0 2 2 1 2 0 0 0 	0.121349	0.006456	0.121349	0.353304	0.006456	0.121349	0.121349	0.353304	0.121349	0.006456	0.006456	0.006456	0.250000	0.250000	0.250000	0.249999	
1700000	-1013.108670	412	3	1	'2 Z 2 1 0 2 0 1 2 0 0 0 	0.119125	0.000000	0.119125	0.419874	0.007479	0.119125	0.007479	0.419874	0.119125	0.007479	0.007479	0.007479	0.250000	0.250000	0.250000	0.249999	
1710000	-1017.017876	412	3	1	'2 Z 2 1 0 2 2 1 2 0 0 0 	0.105294	0.000000	0.105294	0.317712	0.008825	0.105294	0.105294	0.317712	0.105294	0.008825	0.008825	0.008825	0.250000	0.250000	0.250000	0.249999	
1720000	-1014.580576	412	3	0	'2 0 2 1 0 2 0 1 2 0 0 0 	0.113590	0.007172	0.113590	0.407566	0.007172	0.113590	0.007172	0.407566	0.113590	0.007172	0.007172	0.007172	0.250000	0.250000	0.250000	0.249999	
1730000	-1015.343214	412	3	2	'2 Z 2 1 Z 2 0 1 1 0 0 0 	0.108648	0.000000	0.108648	0.320917	0.000000	0.108648	0.006200	0.320917	0.320917	0.006200	0.006200	0.006200	0.250003	0.250003	0.250000	0.249994	
