Default schedule
Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
704	0.308239	147	0.013605	149	0.000000	0.523429	704	0.308239	0.219000	0.203287	
716	0.324022	135	0.007407	149	0.000000	0.523429	716	0.324022	0.233000	0.203318	
725	0.263448	128	0.007812	147	0.000000	0.523429	725	0.263448	0.192000	0.203279	
710	0.266197	140	0.057143	150	0.000000	0.523429	710	0.266197	0.197000	0.203247	
701	0.279601	130	0.000000	169	0.000000	0.523429	701	0.279601	0.196000	0.203233	
726	0.276860	127	0.062992	147	0.000000	0.523429	726	0.276860	0.209000	0.203276	
703	0.257468	140	0.014286	157	0.000000	0.523429	703	0.257468	0.183000	0.203216	
718	0.282730	134	0.022388	148	0.000000	0.523429	718	0.282730	0.206000	0.203114	
728	0.277473	126	0.015873	146	0.000000	0.523429	728	0.277473	0.204000	0.203113	
712	0.278090	144	0.013889	144	0.000000	0.523429	712	0.278090	0.200000	0.203156	
727	0.268226	136	0.029412	137	0.000000	0.523429	727	0.268226	0.199000	0.203113	
721	0.306519	115	0.069565	164	0.006098	0.523429	721	0.306519	0.230000	0.203171	
751	0.259654	118	0.033898	131	0.000000	0.523429	751	0.259654	0.199000	0.203230	
725	0.297931	132	0.030303	143	0.000000	0.523429	725	0.297931	0.220000	0.203203	
722	0.283934	138	0.000000	140	0.000000	0.523429	722	0.283934	0.205000	0.203206	
711	0.268636	140	0.021429	149	0.000000	0.523429	711	0.268636	0.194000	0.203189	
712	0.279494	148	0.006757	140	0.000000	0.523429	712	0.279494	0.200000	0.203140	
741	0.271255	124	0.008065	135	0.000000	0.523429	741	0.271255	0.202000	0.203127	
744	0.291667	128	0.046875	128	0.000000	0.523429	744	0.291667	0.223000	0.203220	
747	0.281124	107	0.037383	146	0.006849	0.523429	747	0.281124	0.215000	0.203263	
734	0.299728	126	0.023810	140	0.021429	0.523429	734	0.299728	0.226000	0.203248	
759	0.299078	109	0.045872	132	0.000000	0.523429	759	0.299078	0.232000	0.203317	
734	0.261580	117	0.008547	149	0.000000	0.523429	734	0.261580	0.193000	0.203356	
718	0.292479	130	0.038462	152	0.000000	0.523429	718	0.292479	0.215000	0.203316	
749	0.267023	100	0.030000	151	0.000000	0.523429	749	0.267023	0.203000	0.203297	
693	0.278499	153	0.032680	154	0.006494	0.523429	693	0.278499	0.199000	0.203316	
734	0.242507	134	0.037313	132	0.000000	0.523429	734	0.242507	0.183000	0.203363	
733	0.268759	131	0.007634	136	0.000000	0.523429	733	0.268759	0.198000	0.203366	
717	0.253835	138	0.021739	145	0.000000	0.523429	717	0.253835	0.185000	0.203373	
700	0.265714	158	0.031646	142	0.000000	0.523429	700	0.265714	0.191000	0.203281	
714	0.309524	138	0.014493	148	0.000000	0.523429	714	0.309524	0.223000	0.203205	
707	0.234795	131	0.030534	162	0.000000	0.523429	707	0.234795	0.170000	0.203188	
704	0.257102	152	0.013158	144	0.000000	0.523429	704	0.257102	0.183000	0.203104	
704	0.288352	142	0.028169	154	0.000000	0.523429	704	0.288352	0.207000	0.202985	
690	0.271014	127	0.023622	183	0.000000	0.523429	690	0.271014	0.190000	0.202947	
700	0.274286	150	0.013333	150	0.000000	0.523429	700	0.274286	0.194000	0.202909	
712	0.280899	131	0.015267	157	0.000000	0.523429	712	0.280899	0.202000	0.202825	
710	0.246479	138	0.057971	152	0.000000	0.523429	710	0.246479	0.183000	0.202750	
719	0.272601	147	0.040816	134	0.000000	0.523429	719	0.272601	0.202000	0.202673	
691	0.298119	169	0.017751	140	0.000000	0.523429	691	0.298119	0.209000	0.202579	
703	0.295875	135	0.022222	162	0.000000	0.523429	703	0.295875	0.211000	0.202540	
726	0.253444	129	0.023256	145	0.000000	0.523429	726	0.253444	0.187000	0.202485	
727	0.255846	139	0.035971	134	0.000000	0.523429	727	0.255846	0.191000	0.202465	
734	0.295640	127	0.047244	139	0.000000	0.523429	734	0.295640	0.223000	0.202444	
721	0.266297	137	0.014599	142	0.007042	0.523429	721	0.266297	0.195000	0.202463	
738	0.256098	128	0.000000	134	0.000000	0.523429	738	0.256098	0.189000	0.202461	
745	0.261745	123	0.016260	132	0.007576	0.523429	745	0.261745	0.198000	0.202488	
718	0.266017	154	0.006494	128	0.000000	0.523429	718	0.266017	0.192000	0.202475	
719	0.276773	133	0.015038	148	0.000000	0.523429	719	0.276773	0.201000	0.202506	
733	0.251023	123	0.008130	144	0.000000	0.523429	733	0.251023	0.185000	0.202515	
723	0.262794	141	0.028369	136	0.000000	0.523429	723	0.262794	0.194000	0.202491	
706	0.257790	145	0.027586	149	0.000000	0.523429	706	0.257790	0.186000	0.202489	
715	0.297902	133	0.022556	152	0.006579	0.523429	715	0.297902	0.217000	0.202469	
689	0.262700	172	0.017442	139	0.007194	0.523429	689	0.262700	0.185000	0.202449	
749	0.269693	120	0.025000	131	0.000000	0.523429	749	0.269693	0.205000	0.202355	
716	0.250000	159	0.006289	125	0.000000	0.523429	716	0.250000	0.180000	0.202317	
741	0.267206	136	0.029412	123	0.000000	0.523429	741	0.267206	0.202000	0.202322	
702	0.264957	159	0.018868	139	0.000000	0.523429	702	0.264957	0.189000	0.202323	
684	0.292398	136	0.036765	180	0.000000	0.523429	684	0.292398	0.205000	0.202324	
684	0.324561	131	0.015267	185	0.000000	0.523429	684	0.324561	0.224000	0.202323	
705	0.306383	142	0.042254	153	0.000000	0.523429	705	0.306383	0.222000	0.202348	
