Steppingstone sampler:
        No Stones:                  100
        Start It:                   10000001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-25.181822	-25.181822
1	0.950747	7500	-24.793328	-49.975150
2	0.926679	7500	-24.428240	-74.403390
3	0.902980	7500	-24.054490	-98.457880
4	0.879648	7500	-23.693772	-122.151652
5	0.856682	7500	-23.322624	-145.474276
6	0.834079	7500	-22.935192	-168.409468
7	0.811838	7500	-22.578967	-190.988435
8	0.789957	7500	-22.279837	-213.268273
9	0.768433	7500	-21.900481	-235.168753
10	0.747266	7500	-21.504170	-256.672923
11	0.726452	7500	-21.190554	-277.863478
12	0.705989	7500	-20.811894	-298.675371
13	0.685877	7500	-20.446114	-319.121485
14	0.666112	7500	-20.128447	-339.249932
15	0.646693	7500	-19.814758	-359.064689
16	0.627618	7500	-19.410528	-378.475217
17	0.608884	7500	-19.084100	-397.559317
18	0.590490	7500	-18.687381	-416.246698
19	0.572433	7500	-18.392781	-434.639478
20	0.554712	7500	-18.116574	-452.756053
21	0.537324	7500	-17.714639	-470.470692
22	0.520268	7500	-17.444899	-487.915591
23	0.503540	7500	-17.112782	-505.028373
24	0.487139	7500	-16.725589	-521.753962
25	0.471063	7500	-16.509362	-538.263324
26	0.455310	7500	-16.402490	-554.665814
27	0.439877	7500	-15.952512	-570.618326
28	0.424762	7500	-15.538620	-586.156946
29	0.409963	7500	-15.344821	-601.501767
30	0.395478	7500	-14.819494	-616.321261
31	0.381305	7500	-14.782833	-631.104093
32	0.367440	7500	-14.439311	-645.543404
33	0.353883	7500	-14.024905	-659.568309
34	0.340630	7500	-13.865215	-673.433524
35	0.327680	7500	-13.452108	-686.885632
36	0.315030	7500	-13.136508	-700.022140
37	0.302677	7500	-12.904612	-712.926753
38	0.290619	7500	-12.622262	-725.549015
39	0.278855	7500	-12.265005	-737.814020
40	0.267381	7500	-11.917000	-749.731020
41	0.256195	7500	-11.628717	-761.359737
42	0.245294	7500	-11.369277	-772.729014
43	0.234677	7500	-11.211284	-783.940299
44	0.224340	7500	-10.884088	-794.824386
45	0.214281	7500	-10.654220	-805.478606
46	0.204498	7500	-10.305277	-815.783884
47	0.194988	7500	-10.120587	-825.904470
48	0.185749	7500	-9.769484	-835.673954
49	0.176777	7500	-9.575972	-845.249926
50	0.168070	7500	-9.207296	-854.457222
51	0.159626	7500	-9.000065	-863.457287
52	0.151441	7500	-8.771011	-872.228299
53	0.143514	7500	-8.482832	-880.711130
54	0.135841	7500	-8.202614	-888.913744
55	0.128420	7500	-8.049722	-896.963466
56	0.121247	7500	-7.730126	-904.693592
57	0.114320	7500	-7.489920	-912.183512
58	0.107637	7500	-7.344061	-919.527573
59	0.101193	7500	-6.967514	-926.495087
60	0.094986	7500	-6.822289	-933.317376
61	0.089014	7500	-6.810084	-940.127460
62	0.083273	7500	-6.349293	-946.476752
63	0.077760	7500	-6.072145	-952.548897
64	0.072472	7500	-5.879406	-958.428303
65	0.067406	7500	-5.749859	-964.178162
66	0.062558	7500	-5.487152	-969.665314
67	0.057926	7500	-5.244578	-974.909892
68	0.053506	7500	-5.175457	-980.085349
69	0.049295	7500	-4.940328	-985.025677
70	0.045289	7500	-4.783352	-989.809028
71	0.041485	7500	-4.591020	-994.400048
72	0.037880	7500	-4.356760	-998.756808
73	0.034469	7500	-4.123483	-1002.880291
74	0.031250	7500	-3.928456	-1006.808746
75	0.028218	7500	-3.750143	-1010.558889
76	0.025370	7500	-3.495899	-1014.054788
77	0.022702	7500	-3.312660	-1017.367448
78	0.020209	7500	-3.145157	-1020.512605
79	0.017889	7500	-3.124049	-1023.636654
80	0.015736	7500	-2.911209	-1026.547863
81	0.013746	7500	-2.569249	-1029.117112
82	0.011916	7500	-2.469925	-1031.587037
83	0.010240	7500	-2.376938	-1033.963975
84	0.008714	7500	-2.232590	-1036.196565
85	0.007334	7500	-1.995740	-1038.192305
86	0.006093	7500	-1.831866	-1040.024170
87	0.004988	7500	-1.691242	-1041.715412
88	0.004013	7500	-1.452875	-1043.168287
89	0.003162	7500	-1.384318	-1044.552605
90	0.002430	7500	-1.261726	-1045.814330
91	0.001810	7500	-1.164051	-1046.978381
92	0.001296	7500	-1.030075	-1048.008456
93	0.000882	7500	-0.897920	-1048.906376
94	0.000559	7500	-0.727429	-1049.633805
95	0.000320	7500	-0.649764	-1050.283570
96	0.000156	7500	-0.506045	-1050.789615
97	0.000057	7500	-0.322561	-1051.112176
98	0.000010	7500	-0.192373	-1051.304549
99	0.000000	7500	-0.041872	-1051.346421
Log marginal likelihood:	-1051.346421
