Glottocode	Gender
waur1244	1
acha1250	3
para1316	3
pich1237	3
inap1243	3
ashe1273	3
bani1255	3
enaw1238	1
igna1246	3
mach1267	3
mehi1240	1
paun1241	0
piap1246	3
ware1255	3
yawa1261	3
yucu1253	3
ashe1272	3
aari1239	3
abad1241	0
abar1238	0
abau1245	3
abaz1241	0
abee1242	0
aben1249	0
abkh1244	3
abro1238	0
abua1245	0
abui1241	0
abun1252	0
acat1239	0
ache1245	0
achi1257	0
achu1247	0
acol1236	0
adam1253	0
adan1247	0
adan1248	0
adan1251	0
adiv1239	0
adny1235	0
adon1237	0
adyg1241	0
adze1240	0
afar1241	3
agar1252	0
aghe1239	0
aghu1255	0
agua1252	0
agua1253	0
agus1235	0
agut1237	0
ahan1243	0
ahan1244	0
aheu1239	0
aime1238	0
ainu1240	0
ainu1251	0
ajab1235	0
ajie1238	0
ajyi1238	3
akan1250	0
akaw1239	0
akei1237	0
akha1245	0
akhv1239	0
akla1241	0
akoo1248	0
akoy1238	3
akun1241	0
alab1237	0
alab1254	3
alac1244	0
alag1248	3
alam1246	0
alaw1244	3
alba1269	0
alek1238	0
aleu1260	0
alge1239	3
algo1255	0
alor1247	0
alur1250	3
alut1245	0
alya1239	0
amah1246	0
amam1246	0
aman1265	0
amap1240	1
amar1271	0
amar1272	0
amas1236	0
amba1265	0
ambu1247	3
amdo1237	0
amel1241	0
amha1245	3
amii1238	0
amis1246	0
amoo1242	0
anam1248	0
anei1239	0
anfi1235	0
anga1288	0
anga1290	0
anga1292	0
anga1293	0
angi1238	0
ango1254	1
anii1245	0
anii1246	3
anin1240	3
anip1235	0
anua1242	0
anuf1239	0
anut1237	0
anuu1241	0
aona1235	0
aoua1234	0
apal1257	0
apat1240	0
apin1244	0
apma1240	0
apma1241	0
apur1254	3
arak1252	0
aram1253	0
arao1248	0
arap1274	0
araw1276	3
arbo1245	3
arch1244	0
area1240	0
aree1239	0
areq1237	0
argo1244	3
arhu1242	0
arif1239	0
arig1246	0
arik1262	0
arop1242	0
arop1243	0
aros1241	0
arta1239	0
ashk1246	1
asho1236	0
assa1263	2
assi1247	0
assy1241	3
asur1254	0
asut1235	0
atam1240	0
atay1247	0
atem1241	0
athp1241	0
atii1237	0
atik1240	0
aton1241	0
atzi1235	0
auuu1241	3
avat1244	0
avok1242	0
awac1239	0
awad1243	3
awad1244	0
awap1236	0
awar1248	0
awar1249	0
awet1244	0
awiy1238	0
awji1241	3
awng1244	1
awtu1239	0
awut1241	0
ayac1239	0
ayor1240	3
ayut1236	0
baat1238	0
baba1264	0
baba1266	0
baba1268	0
babi1235	0
bada1257	3
bade1248	3
bady1239	0
bafa1247	0
bafa1249	0
bafi1243	0
bafu1246	0
baga1272	0
baga1273	0
bagi1246	0
bagr1243	3
baha1256	0
baha1258	0
baha1259	3
bahi1252	0
bahn1262	0
baik1238	0
bais1246	3
baje1238	0
baka1272	0
bakh1245	0
baki1244	0
bako1249	0
bako1250	0
bala1301	0
bala1302	0
bala1310	0
bala1311	0
bala1315	0
bali1278	0
balk1252	3
balt1257	3
balt1258	0
balu1257	0
bamb1262	0
bamb1265	0
bamb1266	0
bamb1269	0
bamb1270	0
bamu1253	0
bana1288	0
band1340	0
band1352	0
bang1354	0
bang1363	0
bank1259	0
bann1247	0
bant1281	0
baou1238	0
