Options:
Model:                           MultiState
Tree File Name:                  ww_trees.nex
Data File Name:                  ww_gen_sys.txt
Log File Name:                   world_gender_system-RJHPoutput.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1436681863
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   10000
Iterations:                      10000000
Burn in:                         1000000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   world_gender_system-RJHPoutput.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          RJ MCMC
    q02                          RJ MCMC
    q03                          RJ MCMC
    q10                          RJ MCMC
    q12                          RJ MCMC
    q13                          RJ MCMC
    q20                          RJ MCMC
    q21                          RJ MCMC
    q23                          RJ MCMC
    q30                          RJ MCMC
    q31                          RJ MCMC
    q32                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - gamma 1.00 1.00 
Tree Information
     Trees:                      902
     Taxa:                       2847
     Sites:                      1
     States:                     4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
1000000	-1205.637042	188	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.053186	0.000000	0.053186	1.280651	0.000000	1.280651	1.280651	1.280651	0.053186	0.053186	0.053186	0.249751	0.250009	0.250004	0.250236	
1010000	-1203.578277	407	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.051803	0.000000	0.051803	1.169004	0.000000	1.169004	1.169004	1.169004	0.051803	0.051803	0.051803	0.249997	0.250000	0.250000	0.250003	
1020000	-1205.463611	407	2	3	'Z 0 Z 0 1 Z 1 1 1 0 0 0 	0.000000	0.049169	0.000000	0.049169	0.964431	0.000000	0.964431	0.964431	0.964431	0.049169	0.049169	0.049169	0.249994	0.250000	0.250000	0.250005	
1030000	-1205.257196	407	2	4	'Z 1 Z Z 0 Z 0 0 0 1 1 1 	0.000000	0.052478	0.000000	0.000000	1.491512	0.000000	1.491512	1.491512	1.491512	0.052478	0.052478	0.052478	0.249997	0.250000	0.250000	0.250002	
1040000	-1204.730706	407	2	3	'Z 1 Z Z 0 1 0 0 0 1 1 1 	0.000000	0.054672	0.000000	0.000000	1.160442	0.054672	1.160442	1.160442	1.160442	0.054672	0.054672	0.054672	0.249998	0.250000	0.250000	0.250001	
1050000	-1203.885403	407	2	2	'Z 1 Z 1 0 1 0 0 0 1 1 1 	0.000000	0.054667	0.000000	0.054667	1.106206	0.054667	1.106206	1.106206	1.106206	0.054667	0.054667	0.054667	0.249999	0.250000	0.250000	0.250001	
1060000	-1204.495219	407	2	3	'Z 0 Z Z 1 0 1 1 1 0 0 0 	0.000000	0.050644	0.000000	0.000000	1.248303	0.050644	1.248303	1.248303	1.248303	0.050644	0.050644	0.050644	0.249996	0.250000	0.250000	0.250004	
1070000	-1204.193850	407	2	3	'Z 1 Z 1 0 Z 0 0 0 1 1 1 	0.000000	0.051453	0.000000	0.051453	1.372617	0.000000	1.372617	1.372617	1.372617	0.051453	0.051453	0.051453	0.249997	0.250000	0.250000	0.250003	
1080000	-1205.588794	407	2	3	'Z 0 Z Z 1 0 1 1 1 0 0 0 	0.000000	0.057820	0.000000	0.000000	1.426522	0.057820	1.426522	1.426522	1.426522	0.057820	0.057820	0.057820	0.249999	0.250000	0.250000	0.250001	
1090000	-1204.523379	407	2	2	'Z 1 Z 1 0 1 0 0 0 1 1 1 	0.000000	0.050535	0.000000	0.050535	0.976279	0.050535	0.976279	0.976279	0.976279	0.050535	0.050535	0.050535	0.249996	0.250000	0.250000	0.250004	
1100000	-1198.233018	407	3	2	'Z 2 Z 2 1 0 1 1 1 0 0 2 	0.000000	0.035070	0.000000	0.035070	1.024178	0.071278	1.024178	1.024178	1.024178	0.071278	0.071278	0.035070	0.249995	0.250001	0.250000	0.250004	
1110000	-1206.461070	407	2	2	'Z 1 Z 0 0 1 0 0 0 1 1 1 	0.000000	0.049448	0.000000	0.698429	0.698429	0.049448	0.698429	0.698429	0.698429	0.049448	0.049448	0.049448	0.249998	0.249999	0.250000	0.250003	
1120000	-1208.014078	407	2	3	'Z 1 Z 0 0 Z 0 0 0 1 1 1 	0.000000	0.054181	0.000000	0.829557	0.829557	0.000000	0.829557	0.829557	0.829557	0.054181	0.054181	0.054181	0.249999	0.250000	0.250000	0.250001	
1130000	-1212.052318	483	2	2	'Z 0 Z 1 1 0 1 1 1 0 0 0 	0.000000	0.052385	0.000000	0.707918	0.707918	0.052385	0.707918	0.707918	0.707918	0.052385	0.052385	0.052385	0.249954	0.249982	0.250002	0.250063	
1140000	-1208.796209	340	2	2	'Z 0 Z 1 1 0 1 1 1 0 0 0 	0.000000	0.045036	0.000000	0.617809	0.617809	0.045036	0.617809	0.617809	0.617809	0.045036	0.045036	0.045036	0.249989	0.249996	0.250000	0.250015	
