Default schedule
Rate	71.43
CV	0.00
Kappa	0.00
Delta	0.00
Labda	0.00
Rev Jump	14.29
Prior Change	0.00
Est Data	0.00
Solo Tree Move	0.00
RJ Local Transform Add / Remove	0.00
Local Transform Move	0.00
Local Transform Change Scale	0.00
Local Transform Hyper Prior	0.00
Change Hetero	0.00
Tree Move	14.29
OU	0.00
Gamma	0.00
RJ Dummy Add / Remove	0.00
RJ Dummy Move Node	0.00
RJ Dummy Change Beta	0.00
Fat Tail Ans All	0.00
Fat Tail Ans	0.00
Geo Move All	0.00
Local Rates	0.00
Data Dist	0.00
Time Slice - Time	0.00
Time Slice - Scale	0.00
Global Rate	0.00
GlobalTrend-Change	0.00
Fabric Homo	0.00
Site Power	0.00
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
702	0.310541	139	0.014388	159	0.012579	0.493992	702	0.310541	0.222000	0.224652	
731	0.339261	133	0.015038	136	0.000000	0.493992	731	0.339261	0.250000	0.224691	
738	0.330623	128	0.000000	134	0.000000	0.493992	738	0.330623	0.244000	0.224804	
727	0.342503	133	0.090226	140	0.000000	0.493992	727	0.342503	0.261000	0.224922	
722	0.299169	133	0.030075	145	0.000000	0.493992	722	0.299169	0.220000	0.225031	
707	0.315417	144	0.055556	149	0.000000	0.493992	707	0.315417	0.231000	0.225147	
714	0.334734	140	0.042857	146	0.000000	0.493992	714	0.334734	0.245000	0.225219	
706	0.303116	160	0.006250	134	0.000000	0.493992	706	0.303116	0.215000	0.225273	
729	0.340192	113	0.044248	158	0.000000	0.493992	729	0.340192	0.253000	0.225302	
713	0.311360	143	0.048951	144	0.006944	0.493992	713	0.311360	0.230000	0.225406	
699	0.347639	154	0.019481	147	0.000000	0.493992	699	0.347639	0.246000	0.225484	
704	0.319602	158	0.018987	138	0.000000	0.493992	704	0.319602	0.228000	0.225541	
715	0.286713	150	0.020000	135	0.000000	0.493992	715	0.286713	0.208000	0.225418	
705	0.290780	151	0.000000	144	0.013889	0.493992	705	0.290780	0.207000	0.225296	
