Steppingstone sampler:
        No Stones:                  100
        Start It:                   10000001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-29.888061	-29.888061
1	0.950747	7500	-29.498614	-59.386676
2	0.926679	7500	-29.015366	-88.402042
3	0.902980	7500	-28.593130	-116.995172
4	0.879648	7500	-28.135421	-145.130592
5	0.856682	7500	-27.669209	-172.799801
6	0.834079	7500	-27.254871	-200.054672
7	0.811838	7500	-26.852289	-226.906961
8	0.789957	7500	-26.413766	-253.320728
9	0.768433	7500	-25.971343	-279.292070
10	0.747266	7500	-25.541050	-304.833121
11	0.726452	7500	-25.120291	-329.953412
12	0.705989	7500	-24.697343	-354.650755
13	0.685877	7500	-24.279018	-378.929773
14	0.666112	7500	-23.900729	-402.830502
15	0.646693	7500	-23.441225	-426.271727
16	0.627618	7500	-23.021149	-449.292877
17	0.608884	7500	-22.704813	-471.997689
18	0.590490	7500	-22.205675	-494.203364
19	0.572433	7500	-21.802041	-516.005405
20	0.554712	7500	-21.417506	-537.422911
21	0.537324	7500	-21.063753	-558.486664
22	0.520268	7500	-20.652852	-579.139516
23	0.503540	7500	-20.177126	-599.316641
24	0.487139	7500	-19.787681	-619.104323
25	0.471063	7500	-19.383036	-638.487358
26	0.455310	7500	-19.006421	-657.493779
27	0.439877	7500	-18.638505	-676.132284
28	0.424762	7500	-18.326362	-694.458646
29	0.409963	7500	-17.905586	-712.364232
30	0.395478	7500	-17.489056	-729.853288
31	0.381305	7500	-17.134302	-746.987589
32	0.367440	7500	-16.794262	-763.781852
33	0.353883	7500	-16.458856	-780.240707
34	0.340630	7500	-16.032293	-796.273000
35	0.327680	7500	-15.682066	-811.955067
36	0.315030	7500	-15.337520	-827.292587
37	0.302677	7500	-14.910626	-842.203212
38	0.290619	7500	-14.695463	-856.898675
39	0.278855	7500	-14.309932	-871.208608
40	0.267381	7500	-13.958620	-885.167228
41	0.256195	7500	-13.644372	-898.811600
42	0.245294	7500	-13.246526	-912.058126
43	0.234677	7500	-12.968892	-925.027018
44	0.224340	7500	-12.583842	-937.610860
45	0.214281	7500	-12.319497	-949.930357
46	0.204498	7500	-11.965584	-961.895941
47	0.194988	7500	-11.758092	-973.654033
48	0.185749	7500	-11.489738	-985.143771
49	0.176777	7500	-11.071225	-996.214996
50	0.168070	7500	-10.687926	-1006.902922
51	0.159626	7500	-10.374847	-1017.277770
52	0.151441	7500	-10.160425	-1027.438195
53	0.143514	7500	-9.757707	-1037.195903
54	0.135841	7500	-9.452336	-1046.648238
55	0.128420	7500	-9.207356	-1055.855594
56	0.121247	7500	-8.869510	-1064.725104
57	0.114320	7500	-8.595209	-1073.320313
58	0.107637	7500	-8.320645	-1081.640958
59	0.101193	7500	-8.149430	-1089.790388
60	0.094986	7500	-7.937691	-1097.728079
61	0.089014	7500	-7.438033	-1105.166112
62	0.083273	7500	-7.338608	-1112.504720
63	0.077760	7500	-6.891466	-1119.396186
64	0.072472	7500	-6.771000	-1126.167186
65	0.067406	7500	-6.623238	-1132.790424
66	0.062558	7500	-6.210642	-1139.001066
67	0.057926	7500	-6.085507	-1145.086573
68	0.053506	7500	-5.826792	-1150.913365
69	0.049295	7500	-5.577387	-1156.490752
70	0.045289	7500	-5.732076	-1162.222828
71	0.041485	7500	-5.426507	-1167.649334
72	0.037880	7500	-5.167732	-1172.817067
73	0.034469	7500	-4.939915	-1177.756981
74	0.031250	7500	-4.614141	-1182.371122
75	0.028218	7500	-4.414858	-1186.785980
76	0.025370	7500	-4.154742	-1190.940722
77	0.022702	7500	-3.927589	-1194.868311
78	0.020209	7500	-3.716460	-1198.584771
79	0.017889	7500	-3.462742	-1202.047512
80	0.015736	7500	-3.269848	-1205.317361
81	0.013746	7500	-2.964692	-1208.282053
82	0.011916	7500	-2.863890	-1211.145943
83	0.010240	7500	-2.592150	-1213.738093
84	0.008714	7500	-2.504838	-1216.242931
85	0.007334	7500	-2.187292	-1218.430223
86	0.006093	7500	-2.142607	-1220.572830
87	0.004988	7500	-1.913034	-1222.485864
88	0.004013	7500	-1.723411	-1224.209275
89	0.003162	7500	-1.615090	-1225.824366
90	0.002430	7500	-1.430969	-1227.255335
91	0.001810	7500	-1.320098	-1228.575433
92	0.001296	7500	-1.149739	-1229.725172
93	0.000882	7500	-1.002558	-1230.727730
94	0.000559	7500	-0.860241	-1231.587971
95	0.000320	7500	-0.769472	-1232.357443
96	0.000156	7500	-0.513807	-1232.871249
97	0.000057	7500	-0.355643	-1233.226892
98	0.000010	7500	-0.224498	-1233.451390
99	0.000000	7500	-0.059129	-1233.510519
Log marginal likelihood:	-1233.510519
